,w_adv,w_time,w_prob,non-weighted error,weighted error,correlation,pvalue,mean,std,c0,c10,c20,c30,c40,c50,c60,c70,c80,c90,r0,r10,r20,r30,r40,r50,r60,r70,r80,r90
32,0.29999999999999993,0.19999999999999998,0.5,0.13436939640965329,0.1293449587564624,0.9925838269351447,3.821015106979329e-06,0.6255733249057605,0.18715354942615434,0.0,0.0,46.8,556.2,1176.4,1570.2,1190.2,783.4,418.0,812.1,,,0.4887627678203347,0.5430517173469299,0.6145040357032345,0.7179375273015778,0.7706583477253195,0.8491209056458168,0.9078188880714023,0.9829306653609077
33,0.29999999999999993,0.29999999999999993,0.39999999999999997,0.16077409998949155,0.1849261290547262,0.9763810730488292,7.208099085381511e-05,0.5709360638573286,0.20764190353095513,0.0,0.0,279.7,1103.8,1607.6,1176.5,812.1,470.4,324.3,778.9,,,0.5200176933717486,0.6006981972338055,0.7176193126193106,0.7566825600099918,0.7881293294530588,0.8137321636261531,0.9054177591230571,0.9838957844788071
34,0.29999999999999993,0.39999999999999997,0.29999999999999993,0.2006711420316231,0.24107501298805784,0.9453182271063042,0.00019575284333196293,0.5162988028088965,0.2316646975212317,0.0,65.0,887.3,1773.8,1142.1,763.6,495.0,394.1,277.6,754.8,,0.5059811542689825,0.5875665941293245,0.715234165790794,0.7411734316776242,0.7720400341032327,0.7373949361395672,0.8168094389949946,0.8925327671003138,0.9830059207400664
35,0.29999999999999993,0.5,0.19999999999999998,0.21913995544628265,0.2952844445923058,0.8881205264252013,0.0020622073406318343,0.4616615417604682,0.2582375086829642,0.0,554.4,1753.0,1297.8,751.2,462.2,390.3,349.9,246.1,748.4,,0.5751497359107841,0.6989900723755545,0.7409239799309615,0.7641372924633013,0.7230939632914237,0.736296594024111,0.8141040273272709,0.8738861476500521,0.9817133117228565
36,0.29999999999999993,0.5999999999999999,0.09999999999999999,0.2559013109560142,0.3499058388206807,0.8543059377322113,0.002418053255057817,0.4070242807120318,0.28665208675477305,174.9,1778.5,1407.0,768.8,441.5,362.1,340.0,306.7,229.9,743.9,0.5439176970471161,0.6944309084789141,0.7270113745437955,0.7645091779529962,0.701227206175273,0.7136444654241155,0.7477846496748081,0.8064067346824709,0.8623419001538192,0.9778342981097948
37,0.29999999999999993,0.7000000000000001,0.0,0.269126085872578,0.4052886553407074,0.7795054621178759,0.011605359839121141,0.35238701966359515,0.31641265010289565,1589.8,1493.7,849.1,413.6,362.2,309.5,301.0,277.1,209.1,748.2,0.7130920135448304,0.7013225362880541,0.746600689727335,0.6977990618888025,0.6939872406702118,0.7273415232667958,0.7575364061910319,0.7986842857299823,0.8537331399753614,0.9729465654039935
38,0.39999999999999997,0.0,0.5999999999999999,0.06292757049119709,0.045834334914768494,0.9890949561724195,3.277723530257112e-05,0.7080019277122633,0.16952907735934084,0.0,0.0,0.0,128.5,595.8,1137.9,1438.5,1219.8,853.3,1179.5,,,,0.503680758527849,0.5521631647079086,0.6073935516386381,0.6903735555539616,0.7874581339296449,0.8725532708532417,0.9767913189244417
39,0.39999999999999997,0.09999999999999999,0.5,0.12182174895851247,0.10044044124764215,0.9823012201987853,7.094461064764797e-05,0.6533646666638302,0.18256380798921207,0.0,0.0,25.6,395.7,942.6,1431.0,1346.8,920.9,616.9,873.8,,,0.5060918044096455,0.5354632944544613,0.6014063651423361,0.6805297322015171,0.7412400150683222,0.8129696881643509,0.9151474884173453,0.9817256038101219
40,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.15193664996003384,0.15614521882221694,0.9891794994814586,5.365204334887312e-06,0.5987274056154004,0.20095657027356456,0.0,0.0,184.4,811.9,1417.3,1297.9,983.5,684.6,380.0,793.7,,,0.5226547644600651,0.5957326668714976,0.6819205916389544,0.7274897657271744,0.7586228978498064,0.8360397224918066,0.9095744212355354,0.9834583694054311
41,0.39999999999999997,0.29999999999999993,0.29999999999999993,0.19575470309458723,0.21078643056941898,0.9696722895447675,3.013092625358774e-05,0.5440901445669672,0.22338794713690216,0.0,34.8,643.8,1340.3,1348.3,940.0,723.9,459.3,299.3,763.6,,0.5124810402465793,0.5779476590899761,0.6818562152363337,0.7253891516692615,0.7445629803974647,0.7739640808329444,0.8144229659252037,0.8965750382305785,0.9836167652465126
42,0.39999999999999997,0.39999999999999997,0.19999999999999998,0.21530649069569258,0.26630356443866987,0.9263285332066573,0.0005771373056667784,0.4894528835185364,0.24876795306814978,0.0,354.8,1347.0,1361.6,945.5,682.2,465.9,388.5,258.2,749.6,,0.5682870388214212,0.6788305008537884,0.7218078647786547,0.730980035488048,0.768818340620361,0.7394789990486499,0.8085499031154348,0.8770250899663263,0.9820183886810276
43,0.39999999999999997,0.5,0.09999999999999999,0.25435343868798643,0.3212973332996076,0.8881171620865758,0.0009926309125832312,0.43481562247009836,0.27628523911796865,86.0,1294.9,1392.3,990.4,652.2,441.1,378.3,340.9,234.1,743.1,0.5314814146821263,0.6783990119891335,0.7193949017458156,0.7192618464431739,0.7554855466371511,0.7239270695016059,0.740939194394703,0.806373664708149,0.8653028800308611,0.9793335964070529
44,0.39999999999999997,0.5999999999999999,0.0,0.2696785738138828,0.37401737257604795,0.8097937061816103,0.007764848892196602,0.3801783614216653,0.30536258174418107,995.3,1409.4,1116.1,658.7,428.7,349.5,337.1,298.4,215.8,744.3,0.6892335114544308,0.7108139353525883,0.7135884353675268,0.7499072806673348,0.7121991550926097,0.7184921507840494,0.7501156561235331,0.7952882156318488,0.8615773219110501,0.9743371358935391
45,0.5,0.0,0.5,0.1033320196266417,0.07348440736301069,0.9633960005081595,0.0006123356092320004,0.6811560084218982,0.18107662469678415,0.0,0.0,14.4,295.9,752.5,1233.9,1419.7,1061.1,694.9,1080.9,,,0.47445279866332496,0.5271150755895136,0.6004363332626133,0.6626220610559718,0.7155394138060822,0.7708166691233787,0.8817371896911961,0.9772304581495594
46,0.5,0.09999999999999999,0.39999999999999997,0.13882021291352145,0.1297554144654708,0.9834885362484809,1.3304149097076778e-05,0.62651874737347,0.19699767484726466,0.0,0.0,127.0,640.1,1167.4,1343.5,1117.9,807.0,502.3,848.1,,,0.5130247448403777,0.5864679219862032,0.6686099850991347,0.7123853152323795,0.7281448207565013,0.8094946136634571,0.9108626194013324,0.9815716823287856
47,0.5,0.19999999999999998,0.29999999999999993,0.18191963389450777,0.18458125001322434,0.9623530586981726,5.84478070254798e-05,0.5718814863250377,0.21746726682244594,0.0,17.7,471.6,1117.5,1303.4,1055.4,856.5,596.7,354.2,780.3,,0.45803617435196375,0.5716389266427965,0.6721505762923679,0.7167902423859076,0.7082376022536404,0.7590712815563986,0.819711492218242,0.8985570994062068,0.9830833099430467
48,0.5,0.29999999999999993,0.19999999999999998,0.20864953502367173,0.2392865708429909,0.9445550368701863,0.00017126871028067434,0.5172442252766025,0.24133088083272028,0.0,243.9,1052.9,1289.1,1047.0,814.3,621.1,447.1,281.5,756.4,,0.5559549694444458,0.669660496804935,0.7173091129649944,0.7074828260034882,0.7430992733753394,0.7602731921626626,0.804570724892339,0.8864413678821721,0.9826190690739738
49,0.5,0.39999999999999997,0.09999999999999999,0.24867220707735668,0.29449551648193184,0.8996260144178384,0.0007041055329685489,0.46260696422816877,0.2676824135040329,47.8,984.8,1261.5,1046.6,809.8,590.6,441.4,380.4,244.6,745.8,0.5073838639258412,0.6683162393761723,0.7177462858029675,0.7057900093713398,0.7307310811527002,0.7480327319217782,0.7410337750103658,0.801705648982149,0.8676255008789544,0.9802391938558657
50,0.5,0.5,0.0,0.26852559237302376,0.34892464656818234,0.8218630873931891,0.006028481798218896,0.40796970317973613,0.2958578678646842,724.8,1284.8,1053.3,844.4,553.0,430.0,362.8,332.5,224.8,742.9,0.6845406664617264,0.7142314077219667,0.7064061087053696,0.7203092212290513,0.7299586532867872,0.7296274156088909,0.745415521429478,0.7881460404330095,0.8628936488759397,0.9764867001602058
51,0.5999999999999999,0.0,0.39999999999999997,0.12455526853326415,0.10058063261306835,0.9683069047414687,9.485955368367005e-05,0.6543100891315415,0.1959303472958862,0.0,0.0,89.0,513.5,966.0,1201.4,1189.5,922.9,628.8,1042.2,,,0.5156810771953279,0.5845205768850923,0.6567205430791193,0.6977063996265609,0.7047712453383648,0.7599616480444856,0.8869817098582319,0.9780216349222386
52,0.5999999999999999,0.09999999999999999,0.29999999999999993,0.17394557486845302,0.15540054362351888,0.9381143420776468,0.0010141341919728685,0.5996728280831027,0.2140980475988749,0.0,11.5,348.2,949.4,1119.8,1083.1,983.2,756.9,470.6,830.6,,0.468777137894785,0.5713642792448324,0.6635567498282304,0.6974565990655736,0.7005744640117892,0.7239955843531996,0.8060814358845521,0.902908921576015,0.9807950019571005
